slug,canonical_name,display_name,hashtag,publication_status,first_class_tier,family,base_trick,modifiers,notation_primary,notation_primary_system,operational_notation,operational_notation_source,operational_notation_convention,stanford_symbolic,stanford_symbolic_normalized,stanford_components,stanford_parseable,official_add,add_formula_primary,source_add_claim,source_add_system,doctrine_divergence_category,source_primary,source_refs,parser_status,shorthand_status,notation_gap,curator_notes
slaying-ss-flail,Slaying ss Flail,Slaying ss Flail,#slaying_ss_flail,stanford_only_unpublished,,,,,,missing,,,,Z+1-!0.+!0-Z,Z+1-!0.+!0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""peak"", ""same-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
slaying-ss-symposium-mirage,Slaying ss Symposium Mirage,Slaying ss Symposium Mirage,#slaying_ss_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+1-!0.+!1-Z,Z+1-!0.+!1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""peak"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
slicing-infinity,Slicing Infinity,Slicing Infinity,#slicing_infinity,stanford_only_unpublished,,,,,,missing,,,,X\-9.+0-X,X\-9.+0-X,"[""clipper-set"", ""backward-spin"", ""opposite-side"", ""front-dex-reverse-swirl"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
smiling-butterfly,Smiling Butterfly,Smiling Butterfly,#smiling_butterfly,stanford_only_unpublished,,,,,,missing,,,,X+6-1.-0-X,X+6-1.-0-X,"[""clipper-set"", ""same-side"", ""back-dex-swirl"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
snapping-butterfly,Snapping Butterfly,Snapping Butterfly,#snapping_butterfly,stanford_only_unpublished,,,,,,missing,,,,D+9.-0-X,D+9.-0-X,"[""dragon-set"", ""same-side"", ""front-dex-reverse-swirl"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
snapping-symposium-mirage,Snapping Symposium Mirage,Snapping Symposium Mirage,#snapping_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,D+9.-!1-Z,D+9.-!1-Z,"[""dragon-set"", ""same-side"", ""front-dex-reverse-swirl"", ""peak"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
sonic-illusion,Sonic Illusion,Sonic Illusion,#sonic_illusion,stanford_only_unpublished,,,,,,missing,,,,X.\-0-Z,X.\-0-Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
sonic-legover,Sonic Legover,Sonic Legover,#sonic_legover,stanford_only_unpublished,,,,,,missing,,,,X.\-0+Z,X.\-0+Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
sonic-mirage,Sonic Mirage,Sonic Mirage,#sonic_mirage,stanford_only_unpublished,,,,,,missing,,,,X.\-1-Z,X.\-1-Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
sonic-pickup,Sonic Pickup,Sonic Pickup,#sonic_pickup,stanford_only_unpublished,,,,,,missing,,,,X.\-1+Z,X.\-1+Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
sonic-torque,Sonic Torque,Sonic Torque,#sonic_torque,stanford_only_unpublished,,,,,,missing,,,,X.\-1/-X,X.\-1/-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-blender,Spinning Blender,Spinning Blender,#spinning_blender,stanford_only_unpublished,,,,,,missing,,,,X.\-1\+X,X.\-1\+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-butterfly-swirl,Spinning Butterfly Swirl,Spinning Butterfly Swirl,#spinning_butterfly_swirl,stanford_only_unpublished,,,,,,missing,,,,X.\-0-6+X,X.\-0-6+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-dlo,Spinning DLO,Spinning DLO,#spinning_dlo,stanford_only_unpublished,,,,,,missing,,,,X.\-1-0+Z,X.\-1-0+Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-double-down,Spinning Double Down,Spinning Double Down,#spinning_double_down,stanford_only_unpublished,,,,,,missing,,,,X.\-0+0-X,X.\-0+0-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-double-down-swirl,Spinning Double Down Swirl,Spinning Double Down Swirl,#spinning_double_down_swirl,stanford_only_unpublished,,,,,,missing,,,,X.\-0+0-6+X,X.\-0+0-6+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-drifter,Spinning Drifter,Spinning Drifter,#spinning_drifter,stanford_only_unpublished,,,,,,missing,,,,X.\-1+X,X.\-1+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-blender,Spinning Ducking Blender,Spinning Ducking Blender,#spinning_ducking_blender,stanford_only_unpublished,,,,,,missing,,,,X\^-1\+X,X\^-1\+X,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-butterfly,Spinning Ducking Butterfly,Spinning Ducking Butterfly,#spinning_ducking_butterfly,stanford_only_unpublished,,,,,,missing,,,,X\^-0-X,X\^-0-X,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-clipper,Spinning Ducking Clipper,Spinning Ducking Clipper,#spinning_ducking_clipper,stanford_only_unpublished,,,,,,missing,,,,X\^+X,X\^+X,"[""clipper-set"", ""backward-spin"", ""duck"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-drifter,Spinning Ducking Drifter,Spinning Ducking Drifter,#spinning_ducking_drifter,stanford_only_unpublished,,,,,,missing,,,,X\^-1+X,X\^-1+X,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-mirage,Spinning Ducking Mirage,Spinning Ducking Mirage,#spinning_ducking_mirage,stanford_only_unpublished,,,,,,missing,,,,X\^-1-Z,X\^-1-Z,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-osis,Spinning Ducking Osis,Spinning Ducking Osis,#spinning_ducking_osis,stanford_only_unpublished,,,,,,missing,,,,X\^\-X,X\^\-X,"[""clipper-set"", ""backward-spin"", ""duck"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-pickup,Spinning Ducking Pickup,Spinning Ducking Pickup,#spinning_ducking_pickup,stanford_only_unpublished,,,,,,missing,,,,X\^-1+Z,X\^-1+Z,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-ps-mirage,Spinning Ducking PS Mirage,Spinning Ducking PS Mirage,#spinning_ducking_ps_mirage,stanford_only_unpublished,,,,,,missing,,,,X\^-!1-Z,X\^-!1-Z,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-ps-whirling-xbd-rake,Spinning Ducking PS Whirling XBD Rake,Spinning Ducking PS Whirling XBD Rake,#spinning_ducking_ps_whirling_xbd_rake,stanford_only_unpublished,,,,,,missing,,,,X\^-!1-xR,X\^-!1-xR,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""crossbody-rake""]",true,,,8,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-reverse-whirling-swivel,Spinning Ducking Reverse Whirling Swivel,Spinning Ducking Reverse Whirling Swivel,#spinning_ducking_reverse_whirling_swivel,stanford_only_unpublished,,,,,,missing,,,,X\^-0-!9\-X,X\^-0-!9\-X,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""no-plant-while"", ""front-dex-reverse-swirl"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,8,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-super-fly,Spinning Ducking Super Fly,Spinning Ducking Super Fly,#spinning_ducking_super_fly,stanford_only_unpublished,,,,,,missing,,,,X\^-!0+0-X,X\^-!0+0-X,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-voodoo,Spinning Ducking Voodoo,Spinning Ducking Voodoo,#spinning_ducking_voodoo,stanford_only_unpublished,,,,,,missing,,,,X\^-1-!1-Z,X\^-1-!1-Z,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,8,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ducking-whirl,Spinning Ducking Whirl,Spinning Ducking Whirl,#spinning_ducking_whirl,stanford_only_unpublished,,,,,,missing,,,,X\^-1-X,X\^-1-X,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-flapper,Spinning Flapper,Spinning Flapper,#spinning_flapper,stanford_only_unpublished,,,,,,missing,,,,X.\+xS,X.\+xS,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""crossbody-sole""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-guay,Spinning Guay,Spinning Guay,#spinning_guay,stanford_only_unpublished,,,,,,missing,,,,X.\-1+L,X.\-1+L,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-illusion,Spinning Illusion,Spinning Illusion,#spinning_illusion,stanford_only_unpublished,,,,,,missing,,,,X.\-0-Z,X.\-0-Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-mirage,Spinning Mirage,Spinning Mirage,#spinning_mirage,stanford_only_unpublished,,,,,,missing,,,,X.\-1-Z,X.\-1-Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-miraging-symposium-miraging-refraction,Spinning Miraging Symposium Miraging Refraction,Spinning Miraging Symposium Miraging Refraction,#spinning_miraging_symposium_miraging_refraction,stanford_only_unpublished,,,,,,missing,,,,X.\-1-!1-L-0-X,X.\-1-!1-L-0-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""inside-set"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,9,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-miraging-symposium-torque,Spinning Miraging Symposium Torque,Spinning Miraging Symposium Torque,#spinning_miraging_symposium_torque,stanford_only_unpublished,,,,,,missing,,,,X.\-1-!1/-X,X.\-1-!1/-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,9,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-mo-fly,Spinning Mo-Fly,Spinning Mo-Fly,#spinning_mo_fly,stanford_only_unpublished,,,,,,missing,,,,X\-1-!0+0-X,X\-1-!0+0-X,"[""clipper-set"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,8,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-motion,Spinning Motion,Spinning Motion,#spinning_motion,stanford_only_unpublished,,,,,,missing,,,,X.\-0+0\+X,X.\-0+0\+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-pickup,Spinning Pickup,Spinning Pickup,#spinning_pickup,stanford_only_unpublished,,,,,,missing,,,,X.\-1+Z,X.\-1+Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-ps-whirling-swirl,Spinning PS Whirling Swirl,Spinning PS Whirling Swirl,#spinning_ps_whirling_swirl,stanford_only_unpublished,,,,,,missing,,,,X\-!1-6+X,X\-!1-6+X,"[""clipper-set"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-reverse-guay,Spinning Reverse Guay,Spinning Reverse Guay,#spinning_reverse_guay,stanford_only_unpublished,,,,,,missing,,,,X.\-0+L,X.\-0+L,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-reverse-swirl,Spinning Reverse Swirl,Spinning Reverse Swirl,#spinning_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,X.\+9+X,X.\+9+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""front-dex-reverse-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-reverse-whirl,Spinning Reverse Whirl,Spinning Reverse Whirl,#spinning_reverse_whirl,stanford_only_unpublished,,,,,,missing,,,,X.\-0-X,X.\-0-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-super-fly,Spinning Super Fly,Spinning Super Fly,#spinning_super_fly,stanford_only_unpublished,,,,,,missing,,,,X.\-!0+0-X,X.\-!0+0-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-swirl,Spinning Swirl,Spinning Swirl,#spinning_swirl,stanford_only_unpublished,,,,,,missing,,,,X.\+6+X,X.\+6+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-swivel,Spinning Swivel,Spinning Swivel,#spinning_swivel,stanford_only_unpublished,,,,,,missing,,,,X.\+!9\-X,X.\+!9\-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""no-plant-while"", ""front-dex-reverse-swirl"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-symposium-mirage,Spinning Symposium Mirage,Spinning Symposium Mirage,#spinning_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,X.\-!1-Z,X.\-!1-Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-symposium-torque,Spinning Symposium Torque,Spinning Symposium Torque,#spinning_symposium_torque,stanford_only_unpublished,,,,,,missing,,,,X.\-!1/-X,X.\-!1/-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-toe-stall,Spinning Toe Stall,Spinning Toe Stall,#spinning_toe_stall,stanford_only_unpublished,,,,,,missing,,,,X.\-Z,X.\-Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""toe-set""]",true,,,2,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-whirling-swirl,Spinning Whirling Swirl,Spinning Whirling Swirl,#spinning_whirling_swirl,stanford_only_unpublished,,,,,,missing,,,,X.\-1-6+X,X.\-1-6+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-xbd-rake,Spinning XBD Rake,Spinning XBD Rake,#spinning_xbd_rake,stanford_only_unpublished,,,,,,missing,,,,X.\+xR,X.\+xR,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""crossbody-rake""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
spinning-zulu-butterfly,Spinning Zulu Butterfly,Spinning Zulu Butterfly,#spinning_zulu_butterfly,stanford_only_unpublished,,,,,,missing,,,,X\&-0-X,X\&-0-X,"[""clipper-set"", ""backward-spin"", ""dive"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
splicing-infinity,Splicing Infinity,Splicing Infinity,#splicing_infinity,stanford_only_unpublished,,,,,,missing,,,,X\-!9.+0-X,X\-!9.+0-X,"[""clipper-set"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""front-dex-reverse-swirl"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
splicing-paradox-mirage,Splicing Paradox Mirage,Splicing Paradox Mirage,#splicing_paradox_mirage,stanford_only_unpublished,,,,,,missing,,,,X\-!9.+1-Z,X\-!9.+1-Z,"[""clipper-set"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""front-dex-reverse-swirl"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
splicing-ss-blender,Splicing ss Blender,Splicing ss Blender,#splicing_ss_blender,stanford_only_unpublished,,,,,,missing,,,,X.\-!9-1\+X,X.\-!9-1\+X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""front-dex-reverse-swirl"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
stepping-baroque,Stepping Baroque,Stepping Baroque,#stepping_baroque,stanford_only_unpublished,,,,,,missing,,,,X-1_.+1+1/-X,X-1_.+1+1/-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
stepping-blender,Stepping Blender,Stepping Blender,#stepping_blender,stanford_only_unpublished,,,,,,missing,,,,X-1_.+1\+X,X-1_.+1\+X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
stepping-butterfly-reverse-swirl,Stepping Butterfly Reverse Swirl,Stepping Butterfly Reverse Swirl,#stepping_butterfly_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,X-1_.+0-9+X,X-1_.+0-9+X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""front-dex-reverse-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
stepping-butterfly-swirl,Stepping Butterfly Swirl,Stepping Butterfly Swirl,#stepping_butterfly_swirl,stanford_only_unpublished,,,,,,missing,,,,X-1_.+0-6+X,X-1_.+0-6+X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
stepping-clipper,Stepping Clipper,Stepping Clipper,#stepping_clipper,stanford_only_unpublished,,,,,,missing,,,,X-1.-X,X-1.-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""clipper-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
stepping-ddd,Stepping DDD,Stepping DDD,#stepping_ddd,stanford_only_unpublished,,,,,,missing,,,,X-1_.+0+0-X,X-1_.+0+0-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
stepping-diving-butterfly,Stepping Diving Butterfly,Stepping Diving Butterfly,#stepping_diving_butterfly,stanford_only_unpublished,,,,,,missing,,,,X-1&+0-X,X-1&+0-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""dive"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
